timestamp,product,mid_price,sell_liquidity,buy_liquidity
0,CROISSANTS,4241.5,39,39
0,DJEMBES,13296.5,24,24
0,JAMS,6523,60,60
0,PICNIC_BASKET1,58416.5,15,15
0,PICNIC_BASKET2,30072.5,15,15
1,CROISSANTS,4241.5,45,45
1,DJEMBES,13296.5,19,19
1,JAMS,6523,63,63
1,PICNIC_BASKET1,58421,10,10
1,PICNIC_BASKET2,30072.5,10,10
2,CROISSANTS,4241.5,39,39
2,DJEMBES,13297,22,22
2,JAMS,6523,76,76
2,PICNIC_BASKET1,58424.5,13,13
2,PICNIC_BASKET2,30072,13,13
3,CROISSANTS,4241.5,36,36
3,DJEMBES,13297,21,21
3,JAMS,6522.5,84,84
3,PICNIC_BASKET1,58424.5,14,14
3,PICNIC_BASKET2,30071,14,14
4,CROISSANTS,4241.5,41,41
4,DJEMBES,13298,22,22
4,JAMS,6522,89,89
4,PICNIC_BASKET1,58421.5,13,13
4,PICNIC_BASKET2,30070,13,13
5,CROISSANTS,4241.5,41,41
5,DJEMBES,13298.5,21,21
5,JAMS,6522.5,95,95
5,PICNIC_BASKET1,58423.5,14,14
5,PICNIC_BASKET2,30068,14,14
6,CROISSANTS,4241.5,43,43
6,DJEMBES,13298.5,18,18
6,JAMS,6522.5,85,85
6,PICNIC_BASKET1,58422,15,13
6,PICNIC_BASKET2,30071.5,15,13
7,CROISSANTS,4241.5,40,40
7,DJEMBES,13297.5,19,19
7,JAMS,6522,87,87
7,PICNIC_BASKET1,58421.5,16,16
7,PICNIC_BASKET2,30066.5,16,16
8,CROISSANTS,4241.5,31,31
8,DJEMBES,13297.5,19,19
8,JAMS,6522,75,75
8,PICNIC_BASKET1,58421.5,10,10
8,PICNIC_BASKET2,30066.5,10,10
9,CROISSANTS,4240.5,36,36
9,DJEMBES,13297.5,16,16
9,JAMS,6522,74,74
9,PICNIC_BASKET1,58417.5,12,12
9,PICNIC_BASKET2,30064.5,12,12
10,CROISSANTS,4240.5,38,38
10,DJEMBES,13298,20,20
10,JAMS,6522,80,80
10,PICNIC_BASKET1,58415.5,11,13
10,PICNIC_BASKET2,30067,9,11
11,CROISSANTS,4241,44,44
11,DJEMBES,13297.5,16,16
